index	prediction
0	3.9766085
1	3.462857
2	4.6393027
3	4.26207
4	1.721573
5	1.8554227
6	3.6404881
7	1.5507821
8	2.280753
9	1.7368523
10	1.7368523
11	5.074404
12	0.6745523
13	3.9947352
14	1.8837242
15	1.6194866
16	4.0418873
17	3.01121
18	4.622858
19	1.2735995
20	2.3178823
21	0.7905029
22	4.1335998
23	4.157066
24	1.3756628
25	2.923022
26	0.9600402
27	1.7738149
28	0.6170316
29	3.102213
30	3.6599958
31	4.3638325
32	0.86552775
33	3.6096416
34	2.7566824
35	0.47813717
36	1.550519
37	4.1192513
38	3.549404
39	0.70310915
40	3.7220876
41	2.8917432
42	3.2480857
43	0.49170455
44	1.8819164
45	0.75768274
46	0.32057247
47	1.109735
48	3.8144424
49	2.317336
50	1.0792507
51	1.1980704
52	0.4499479
53	0.42213514
54	1.3666595
55	-0.03464385
56	3.5655339
57	0.76619047
58	4.0242047
59	1.1467351
60	4.9681664
61	-0.043958418
62	3.1669497
63	0.68684995
64	3.3321087
65	0.58797526
66	0.115062244
67	3.8326333
68	0.03277666
69	3.7819788
70	3.0475523
71	3.8666058
72	0.043135315
73	3.5350158
74	3.3016896
75	0.250126
76	0.40263784
77	-0.04155507
78	3.852133
79	3.302427
80	0.32626903
81	1.1124924
82	2.456437
83	1.4456762
84	0.6178175
85	1.1284475
86	2.9611552
87	3.9637399
88	2.7355115
89	1.3107758
90	0.9768687
91	3.4856162
92	1.3257555
93	3.3562808
94	2.1990879
95	3.6569092
96	3.6525986
97	2.919138
98	2.6925209
99	3.9566894
100	0.033130392
101	0.7925453
102	2.846196
103	2.6165283
104	3.717201
105	2.6781402
106	0.0052619744
107	1.358646
108	1.2210556
109	3.5587153
110	1.6497692
111	3.3087528
112	2.5050251
113	3.5120409
114	-0.022981819
115	-0.049392752
116	3.963307
117	2.8851218
118	0.044682197
119	0.5563071
120	0.6502565
121	0.61167896
122	0.035638824
123	0.80876255
124	0.2304745
125	5.043959
126	0.019214474
127	2.3222044
128	5.049852
129	2.9325764
130	3.793507
131	2.5631878
132	3.6693141
133	4.405405
134	3.2361267
135	4.1523514
136	5.072123
137	2.0699816
138	2.1088803
139	4.853718
140	5.0719504
141	3.6014519
142	2.3648725
143	4.235011
144	1.7925714
145	1.3787084
146	3.179239
147	3.6003838
148	2.0646966
149	0.54667234
150	1.7742411
151	1.4990436
152	3.5545125
153	3.4989238
154	3.2778425
155	3.632562
156	0.17473154
157	0.6535346
158	3.9477634
159	0.8292029
160	5.0760937
161	2.3835742
162	1.9911103
163	2.9821358
164	3.9509168
165	4.22248
166	3.7270026
167	3.5068927
168	4.918049
169	4.6688194
170	1.6590948
171	0.06409066
172	4.232603
173	3.4033258
174	2.1267357
175	3.1008143
176	2.6919527
177	3.4926448
178	0.23585084
179	0.043330997
180	0.021859411
181	2.9150655
182	3.2586515
183	0.6430717
184	1.7622403
185	0.24458583
186	-0.036755323
187	0.3404882
188	0.42303994
189	0.5435065
190	3.9676905
191	3.8598301
192	1.4081624
193	2.8849573
194	3.626935
195	3.1380072
196	3.1137335
197	0.5998004
198	0.054171287
199	2.632326
200	0.864878
201	1.3880695
202	0.28421676
203	0.55756307
204	0.24255264
205	0.91576993
206	3.2308753
207	-0.047006615
208	1.863602
209	1.0796268
210	0.93677694
211	0.45911956
212	0.20840654
213	0.98850775
214	1.5527928
215	1.1698389
216	2.7898583
217	3.9289167
218	3.4566145
219	2.1231384
220	0.402289
221	-0.015605381
222	0.7558093
223	2.2778814
224	0.08066207
225	0.0012305956
226	1.7301358
227	2.5301743
228	-0.022133848
229	0.6682731
230	0.31021735
231	-0.009094875
232	4.492607
233	2.5872018
234	2.190058
235	2.8291013
236	0.031035386
237	-0.027557949
238	0.24750894
239	0.06998265
240	0.735008
241	0.264504
242	0.0077190166
243	0.06104161
244	2.7182941
245	0.5281056
246	2.8710477
247	3.2747345
248	0.06568602
249	0.07824411
250	3.0939207
251	4.1030254
252	3.0589795
253	2.4708648
254	1.8870131
255	3.4275916
256	0.8905675
257	3.9261763
258	2.75457
259	0.02040233
260	3.8940248
261	4.4728527
262	3.351599
263	4.0234394
264	2.7756906
265	2.2018955
266	3.6064193
267	3.3380744
268	1.1663145
269	5.054577
270	3.6933346
271	0.1615298
272	2.1718836
273	3.8075666
274	3.3986287
275	5.0404267
276	0.60742915
277	0.07123943
278	2.5637877
279	2.8326392
280	0.06525528
281	2.6063552
282	3.2341292
283	3.1429386
284	3.3666127
285	4.2451816
286	2.0864103
287	3.7878947
288	3.1535022
289	0.7357765
290	4.040133
291	1.8153102
292	2.565557
293	5.0562816
294	-0.08265261
295	1.0548432
296	1.9541987
297	3.8288465
298	2.7453296
299	3.2835004
300	4.9863567
301	2.5563853
302	1.5560794
303	4.6955185
304	1.986394
305	4.2479177
306	3.8836226
307	3.8631647
308	3.5318856
309	3.8673086
310	2.1547687
311	0.68693006
312	0.99794346
313	2.738356
314	2.952624
315	4.1794033
316	2.9983213
317	3.2589624
318	0.03358657
319	0.02619174
320	3.294834
321	2.7989254
322	3.640096
323	2.7658086
324	3.037352
325	0.0015404178
326	2.6542497
327	4.053823
328	4.159396
329	3.2733116
330	5.0441475
331	3.8811376
332	3.9453156
333	3.207142
334	2.8645759
335	1.1243192
336	3.9455488
337	4.0311995
338	-0.002735762
339	1.7888182
340	3.6929116
341	4.9829154
342	4.160763
343	2.6594727
344	2.0048962
345	0.80973244
346	3.9928155
347	0.58586705
348	3.386114
349	0.1634062
350	2.440832
351	3.7178726
352	0.11811714
353	3.2839475
354	3.7188478
355	-0.02902955
356	2.4428153
357	4.002301
358	0.0067536673
359	3.8498235
360	4.6304727
361	3.924013
362	2.2810838
363	2.648319
364	3.8958094
365	0.029588314
366	1.4776686
367	1.794912
368	4.0382433
369	4.4992685
370	3.0695355
371	4.2377067
372	0.06385188
373	1.1589489
374	1.2101415
375	3.6744328
376	2.101603
377	-0.06648242
378	1.6050183
379	1.9884895
380	3.591478
381	3.5025325
382	2.772998
383	0.915369
384	3.416149
385	2.2393174
386	4.146241
387	1.412169
388	2.7945163
389	1.5093489
390	3.6501577
391	2.1589427
392	0.37607235
393	1.0300943
394	1.902568
395	0.92484003
396	1.3124721
397	5.0370245
398	2.8841307
399	2.5201206
400	2.7755115
401	0.3185427
402	1.6356919
403	3.0776324
404	2.4430597
405	3.6016204
406	0.016825119
407	2.9131563
408	1.9705695
409	2.955245
410	3.8973775
411	4.2091403
412	1.7231758
413	4.5797424
414	1.0924731
415	0.93629223
416	0.09342338
417	4.1895695
418	2.6201851
419	3.5487952
420	4.3159986
421	1.0821414
422	4.848803
423	1.5244398
424	2.1764565
425	2.0625043
426	0.02992608
427	5.003809
428	2.7920198
429	4.305333
430	1.4127442
431	4.976469
432	0.47875813
433	3.3313208
434	0.6979224
435	2.9792325
436	1.4043174
437	5.0073867
438	3.68974
439	3.592098
440	2.6913779
441	2.743988
442	-0.00630302
443	3.048596
444	3.5814564
445	0.040629126
446	0.9591414
447	2.9919858
448	0.31692737
449	1.4727151
450	3.4615145
451	3.2642467
452	0.3163664
453	0.3037899
454	4.7196097
455	1.3988092
456	1.6838801
457	4.440038
458	1.6881485
459	2.284863
460	0.17499018
461	1.3265716
462	-0.01606116
463	2.9132755
464	3.1746523
465	3.2371538
466	1.7254072
467	4.8092175
468	4.677964
469	0.41085163
470	2.0082283
471	4.121616
472	2.1393254
473	4.3457026
474	2.4764361
475	2.7002666
476	0.8225864
477	2.7131011
478	3.6078234
479	0.19761902
480	4.2671633
481	2.2500825
482	3.3746078
483	0.12175859
484	4.4394007
485	0.7288053
486	3.0146873
487	4.8108473
488	2.6271412
489	4.9761157
490	3.732245
491	4.0544987
492	3.9002445
493	3.093489
494	2.4000626
495	2.573923
496	0.9967648
497	4.33842
498	0.5100828
499	5.099128
500	2.1946766
501	2.7709382
502	1.4366755
503	3.1738253
504	1.6262734
505	4.097049
506	2.9322712
507	0.44830233
508	3.0178218
509	-0.035988443
510	2.078522
511	2.2219682
512	2.190221
513	1.4292594
514	1.8081863
515	0.33324897
516	1.3907837
517	2.1824524
518	2.6377761
519	3.5425944
520	0.8025402
521	2.7075093
522	3.906703
523	2.0473435
524	3.6750274
525	2.7304058
526	1.1586115
527	0.84862226
528	4.8642898
529	1.2354838
530	0.24023731
531	0.017266108
532	0.4223648
533	1.9522573
534	0.8668244
535	0.62177974
536	3.873085
537	1.7263534
538	2.4670305
539	1.9677647
540	2.532684
541	2.0378842
542	2.399549
543	3.1808474
544	3.5979352
545	4.745427
546	1.0936698
547	3.2091572
548	3.1740413
549	3.7082164
550	3.2048013
551	1.1141434
552	3.890771
553	2.2441187
554	2.7825766
555	2.3107362
556	3.271525
557	2.037037
558	3.6870933
559	3.075351
560	3.6792727
561	0.5723157
562	1.7647882
563	1.2471641
564	1.6204062
565	1.795735
566	4.215994
567	3.155825
568	1.8535557
569	2.337986
570	3.2542367
571	1.6670367
572	0.7352756
573	2.7581594
574	3.743385
575	2.9125264
576	4.1166253
577	3.0861661
578	2.7013676
579	1.8464111
580	1.8637325
581	3.2082443
582	3.461718
583	2.0018802
584	2.2156188
585	3.1179078
586	1.0494316
587	3.5478935
588	2.5719473
589	1.3340223
590	1.9024453
591	2.4510276
592	4.2477646
593	2.082802
594	1.1537484
595	3.0985289
596	1.8392487
597	0.55540967
598	3.1728494
599	4.0267563
600	2.2560627
601	0.56828904
602	4.093367
603	1.8903097
604	1.6989446
605	2.784401
606	1.9543304
607	2.85519
608	3.3969698
609	2.8994086
610	5.002793
611	2.6656375
612	1.693168
613	1.9514875
614	2.8152425
615	2.147032
616	3.5558875
617	0.62503284
618	3.8322895
619	3.5626862
620	0.99138653
621	2.9844656
622	0.8152642
623	4.9582515
624	2.3453681
625	3.082542
626	3.387555
627	0.52882415
628	0.82701904
629	1.0519893
630	1.6885419
631	4.4556556
632	3.2109385
633	3.0184598
634	0.82698774
635	3.0860846
636	4.361075
637	4.1940093
638	2.6787536
639	2.843009
640	1.7450666
641	3.2883575
642	3.0435133
643	3.0660083
644	2.0276055
645	4.7787204
646	2.9800515
647	3.2273529
648	4.1293516
649	1.6870651
650	2.944977
651	3.8633475
652	1.3831558
653	0.79605526
654	1.5301077
655	3.5455694
656	3.2163851
657	1.3366513
658	1.75141
659	2.754595
660	2.110439
661	2.7700007
662	1.4797283
663	2.55386
664	4.7422013
665	1.1971002
666	2.639152
667	2.1706984
668	3.2864623
669	2.2939806
670	1.9509773
671	4.748367
672	1.9109285
673	4.739204
674	4.653684
675	1.5686578
676	2.7678874
677	2.536426
678	1.2846041
679	1.7237647
680	3.5295672
681	1.6549971
682	2.4529405
683	2.622577
684	3.3591926
685	3.099908
686	2.7976015
687	2.4211469
688	3.411776
689	3.324665
690	2.8004725
691	2.4380605
692	4.5198417
693	2.224718
694	3.117163
695	1.9568462
696	2.2606668
697	1.4990351
698	2.4182544
699	3.3379662
700	2.2880507
701	2.1109731
702	2.5552096
703	4.4138484
704	3.1918986
705	3.1714938
706	2.7441828
707	1.1795707
708	3.5934117
709	2.2839205
710	3.4798439
711	2.435389
712	1.6662195
713	2.6021657
714	1.9560646
715	2.2353628
716	2.339232
717	3.128496
718	2.509464
719	4.4894395
720	4.964197
721	1.3752793
722	2.1349907
723	1.7507827
724	3.0941002
725	1.1936765
726	3.5792472
727	4.137041
728	2.5597744
729	3.2098675
730	2.5731943
731	1.9254334
732	3.1582325
733	1.2668351
734	3.0046356
735	1.8747329
736	1.9235086
737	3.5262747
738	2.6412973
739	2.1292226
740	3.3657804
741	3.0002816
742	1.5679295
743	3.0532277
744	1.5497319
745	1.563986
746	1.6648561
747	1.7510314
748	4.1957273
749	2.0106332
750	2.1014392
751	2.0955408
752	3.4419386
753	1.503252
754	1.8893538
755	3.635142
756	3.4265463
757	3.4891484
758	2.165224
759	3.9300818
760	4.1351466
761	0.80334336
762	1.1303781
763	1.9497259
764	4.1817646
765	4.614668
766	3.3240712
767	2.9931133
768	2.758809
769	1.5430143
770	2.6418054
771	2.2872734
772	2.8095896
773	4.343693
774	2.5955
775	2.559434
776	2.434523
777	1.4130831
778	2.8769314
779	1.8602682
780	2.7654018
781	1.3380257
782	4.2816153
783	3.7829785
784	2.3417645
785	1.8462111
786	1.9263544
787	3.3455303
788	4.9958706
789	2.3573878
790	1.8060534
791	2.7633452
792	1.3152807
793	2.6136007
794	2.7576792
795	3.0172324
796	1.2442269
797	3.2198792
798	0.88788366
799	2.2087328
800	2.6054823
801	1.7365171
802	1.9973819
803	1.6227381
804	2.2423396
805	4.854678
806	1.9743843
807	3.131326
808	4.702862
809	1.5103331
810	2.838102
811	0.94870067
812	3.071511
813	2.9317813
814	2.711732
815	1.7652355
816	2.8225648
817	2.452875
818	4.514996
819	2.937545
820	1.7406259
821	2.4904752
822	1.1255882
823	3.2199445
824	3.468811
825	2.4579065
826	3.1247964
827	1.6695839
828	3.798693
829	4.802917
830	2.9093578
831	2.03306
832	2.7357981
833	3.467135
834	3.6520052
835	1.547007
836	4.061701
837	0.88572496
838	1.4352902
839	3.236695
840	3.7636957
841	2.5593877
842	2.2552583
843	2.1754212
844	4.227866
845	2.6835718
846	2.4426122
847	2.6825905
848	1.9536382
849	4.386795
850	3.726474
851	2.925271
852	4.5111184
853	3.4270523
854	4.8344345
855	2.95597
856	1.8171943
857	3.3430376
858	4.6823406
859	2.999289
860	3.4716656
861	4.2773366
862	3.655569
863	0.89805335
864	1.9722242
865	1.3095826
866	1.5309644
867	1.3509704
868	0.89856225
869	2.835029
870	2.797125
871	1.949422
872	2.793469
873	2.9671638
874	0.8049092
875	3.4955966
876	2.3967464
877	4.3921213
878	4.6668477
879	1.9111028
880	3.1515431
881	2.9796846
882	3.1149428
883	4.08519
884	1.6347724
885	3.65924
886	3.3806968
887	3.8970625
888	3.0378437
889	3.0204906
890	4.4263
891	3.664145
892	1.3052654
893	3.9821718
894	3.622393
895	3.8121815
896	3.330603
897	2.9526222
898	2.155875
899	3.2283654
900	3.717115
901	3.906547
902	3.023393
903	4.135969
904	4.190025
905	3.4459045
906	2.4602394
907	3.70273
908	3.7457504
909	3.1124253
910	3.171352
911	2.8716848
912	2.541823
913	3.04273
914	3.6931012
915	4.7264304
916	3.5132616
917	3.4692662
918	4.1868477
919	3.5753222
920	3.3896873
921	3.2486694
922	3.752712
923	3.456404
924	4.107771
925	3.082528
926	3.7380538
927	2.451671
928	3.8182178
929	3.1384442
930	3.3378234
931	3.7293823
932	4.1919665
933	3.004845
934	1.8893002
935	2.5708601
936	2.9214146
937	3.2876527
938	3.3560143
939	2.7143614
940	3.9960394
941	3.6619275
942	3.1086707
943	3.1726155
944	3.4348578
945	3.8755174
946	3.951562
947	3.509634
948	3.0920568
949	3.1655295
950	3.717994
951	3.5080533
952	3.842607
953	2.9556768
954	3.0872247
955	1.6194317
956	3.0376987
957	1.3039455
958	3.6664503
959	3.3104408
960	3.5589335
961	3.4604595
962	4.0324645
963	2.2868395
964	3.3346024
965	3.7130985
966	3.619764
967	3.823032
968	3.438558
969	2.896777
970	3.1337752
971	3.0850132
972	3.4300718
973	3.3350132
974	3.7219317
975	2.6762457
976	3.1345198
977	4.464675
978	4.0693254
979	3.7247958
980	2.8043664
981	4.2011
982	2.7565205
983	2.3429384
984	3.1834712
985	3.5207992
986	3.9316487
987	3.0364676
988	2.9800832
989	2.3664677
990	4.0516706
991	2.6433358
992	2.9643753
993	3.4040368
994	2.3045206
995	2.9155798
996	2.0190403
997	3.476958
998	3.8416374
999	2.7071075
1000	3.1289237
1001	3.3408008
1002	3.2665036
1003	3.5133274
1004	2.4511871
1005	2.493182
1006	3.5889215
1007	2.9735
1008	2.5218966
1009	3.4864416
1010	3.364853
1011	3.3769102
1012	4.2093887
1013	2.6445725
1014	3.5942163
1015	3.216709
1016	4.0065145
1017	3.429191
1018	4.818064
1019	3.6073408
1020	3.1318083
1021	3.5037
1022	3.7388902
1023	2.7479558
1024	3.7316291
1025	3.4108586
1026	3.212587
1027	1.8208818
1028	3.765697
1029	1.748021
1030	3.4090953
1031	5.0365133
1032	3.4717271
1033	3.0244641
1034	4.3581843
1035	2.8357108
1036	3.5481472
1037	3.612909
1038	4.2246757
1039	4.743138
1040	3.515524
1041	3.4414642
1042	3.6701002
1043	2.775845
1044	3.6592727
1045	2.3643558
1046	2.9335172
1047	3.2325947
1048	4.0452414
1049	4.475097
1050	3.4384413
1051	4.1600776
1052	3.3960502
1053	3.2967927
1054	3.1303654
1055	3.6405897
1056	3.8725603
1057	3.7221212
1058	3.4235861
1059	3.678689
1060	3.2899482
1061	2.908834
1062	2.649428
1063	3.1179454
1064	3.327819
1065	2.2329044
1066	3.6112137
1067	3.1193492
1068	3.1284387
1069	3.408558
1070	5.082669
1071	2.7031367
1072	2.9659512
1073	1.6244491
1074	2.8786497
1075	2.5286677
1076	3.5374637
1077	3.9303057
1078	3.5300894
1079	2.3237326
1080	3.592141
1081	3.4892693
1082	3.2776115
1083	0.85707575
1084	3.2939959
1085	3.6052172
1086	2.9105914
1087	2.5057793
1088	1.5026006
1089	3.6752923
1090	3.6108067
1091	4.1518073
1092	3.7457047
1093	3.931716
1094	3.0865602
1095	3.5173166
1096	2.9654365
1097	2.6647294
1098	3.114203
1099	2.3988929
1100	2.188908
1101	3.2737453
1102	3.0363245
1103	3.7310205
1104	3.7264397
1105	2.9628694
1106	3.2064376
1107	2.3443553
1108	3.8206902
1109	2.6288257
1110	1.0551075
1111	4.376399
1112	3.6508374
1113	4.0604377
1114	2.919028
1115	3.5323126
1116	3.507597
1117	4.2639136
1118	4.24582
1119	2.6941073
1120	3.2491744
1121	0.7128061
1122	3.8473842
1123	3.4121532
1124	2.648486
1125	3.871067
1126	3.2546551
1127	4.2574778
1128	3.8025
1129	2.3101134
1130	1.2180352
1131	4.353624
1132	4.3423843
1133	0.23311508
1134	2.5774643
1135	3.3604522
1136	1.9933152
1137	2.8702893
1138	0.7810727
1139	4.667231
1140	2.141331
1141	1.4997358
1142	1.8329641
1143	4.245087
1144	3.1879115
1145	1.9827226
1146	1.4302516
1147	4.2511005
1148	2.861624
1149	4.234446
1150	0.14793016
1151	-0.0759374
1152	4.991815
1153	4.549963
1154	4.1891108
1155	3.981447
1156	3.8894603
1157	0.43477318
1158	4.3991385
1159	1.6856407
1160	3.3857636
1161	2.9351027
1162	1.1482567
1163	4.4873767
1164	4.0661716
1165	0.5797724
1166	3.0124032
1167	1.9861292
1168	3.6182406
1169	0.45609313
1170	2.4166608
1171	5.040393
1172	1.787939
1173	3.6673472
1174	0.5707184
1175	-0.07157803
1176	4.9566894
1177	1.9553465
1178	3.6970954
1179	0.95529747
1180	0.9572489
1181	3.0816205
1182	3.6186194
1183	2.0117712
1184	1.1177413
1185	3.6754901
1186	4.727588
1187	3.3010767
1188	3.0668619
1189	3.9643707
1190	2.636291
1191	3.8744872
1192	1.4016777
1193	1.023497
1194	1.3614898
1195	3.8442354
1196	4.409132
1197	4.077942
1198	3.5709708
1199	3.4888413
1200	2.221785
1201	2.6451225
1202	4.171903
1203	4.352553
1204	3.9618497
1205	3.014463
1206	5.030615
1207	2.7958295
1208	2.4316936
1209	1.9660649
1210	2.605516
1211	3.2043254
1212	4.1264467
1213	3.9071362
1214	4.527793
1215	4.397718
1216	1.7529382
1217	2.5803473
1218	1.4449148
1219	1.5030843
1220	1.636693
1221	2.2115638
1222	3.949335
1223	2.894158
1224	2.5627468
1225	3.1012273
1226	3.2850943
1227	4.5081143
1228	4.9038205
1229	2.2830544
1230	2.48066
1231	2.0326743
1232	3.1433659
1233	3.8493428
1234	3.9373407
1235	1.5456748
1236	2.599095
1237	1.7416363
1238	1.8586023
1239	1.4281712
1240	1.2499094
1241	2.8461223
1242	2.7579117
1243	3.0761924
1244	-0.0779409
1245	5.036128
1246	3.9784126
1247	1.0111332
1248	0.035057113
1249	4.254219
1250	3.680227
1251	3.6470168
1252	3.9715037
1253	2.8185415
1254	0.26595092
1255	4.395881
1256	1.6370718
1257	4.2331142
1258	3.013599
1259	4.2735415
1260	2.6834056
1261	0.20791295
1262	3.53006
1263	1.9458705
1264	3.8105145
1265	3.5488472
1266	4.031831
1267	2.7979326
1268	1.4217349
1269	1.2307528
1270	2.6671674
1271	3.5178912
1272	1.2847556
1273	1.3745383
1274	3.2455833
1275	2.6233423
1276	0.873258
1277	3.8049903
1278	0.8180193
1279	4.4436135
1280	0.010753078
1281	0.20095351
1282	3.271113
1283	3.9666767
1284	0.68192416
1285	3.364241
1286	3.9399004
1287	1.6328233
1288	-0.039411172
1289	1.6400032
1290	3.9776444
1291	0.73859155
1292	3.5915494
1293	3.3037536
1294	1.6987385
1295	0.6276133
1296	3.8712955
1297	0.6236066
1298	0.53336066
1299	4.127603
1300	2.3378572
1301	2.7432387
1302	2.7130365
1303	2.5007725
1304	2.4120264
1305	1.1166822
1306	1.8731654
1307	0.9515406
1308	1.2256129
1309	2.6292782
1310	3.0783424
1311	4.6299453
1312	0.9285776
1313	2.624615
1314	2.9898846
1315	4.5537233
1316	4.454762
1317	4.1967635
1318	2.5387604
1319	-0.003703449
1320	4.9399157
1321	1.8506517
1322	3.907732
1323	2.4370942
1324	4.618804
1325	4.2192707
1326	4.7464485
1327	3.1072266
1328	0.12229521
1329	3.890098
1330	3.9935086
1331	2.0715191
1332	1.575865
1333	3.0121493
1334	2.5751364
1335	4.1540656
1336	4.104397
1337	3.8061087
1338	1.1755495
1339	2.7768228
1340	3.2049587
1341	4.7511225
1342	2.6287313
1343	0.6776718
1344	0.917197
1345	1.996881
1346	4.1677623
1347	4.042403
1348	4.9767776
1349	2.194757
1350	4.293864
1351	4.890564
1352	4.2990437
1353	4.081937
1354	4.6305428
1355	2.1497936
1356	3.2765496
1357	4.742748
1358	3.0299318
1359	2.9316924
1360	1.0724232
1361	3.5402892
1362	0.7127366
1363	2.7265222
1364	4.821255
1365	2.2631776
1366	1.6581957
1367	2.1592357
1368	0.7525418
1369	1.4805707
1370	1.707048
1371	0.84620494
1372	1.370377
1373	1.698182
1374	1.2168236
1375	1.7498593
1376	1.2262658
1377	0.06710587
1378	1.5522707
